index,file,label,day
0,CroppedImages/meteor/bramon_20210424_074540_J8_MMI.jpg,1,20210424
1,CroppedImages/meteor/bramon_20190615_084105_J8_JLY.jpg,1,20190615
2,CroppedImages/meteor/bramon_20200525_081537_J8_MMI.jpg,1,20200525
3,CroppedImages/nonmeteor/bramon_20210508_163810_nonmeteor.jpg,0,20210508
4,CroppedImages/meteor/bramon_20160425_075459_J8_ABO.jpg,1,20160425
5,CroppedImages/meteor/bramon_20200613_080458_J8_MMI.jpg,1,20200613
6,CroppedImages/nonmeteor/bramon_20210530_033515_nonmeteor.jpg,0,20210530
7,CroppedImages/meteor/ukmon_20220104_000549_UK004V.jpg,1,20220104
8,CroppedImages/meteor/bramon_20190510_025900_J8_MMI.jpg,1,20190510
9,CroppedImages/nonmeteor/ukmon_20230317_043758_nonmeteor.jpg,0,20230317
10,CroppedImages/nonmeteor/bramon_20210221_213415_nonmeteor.jpg,0,20210221
11,CroppedImages/nonmeteor/bramon_20230106_052031_nonmeteor.jpg,0,20230106
12,CroppedImages/nonmeteor/bramon_20180720_051941_nonmeteor.jpg,0,20180720
13,CroppedImages/meteor/bramon_20160615_024750_J8_JLY.jpg,1,20160615
14,CroppedImages/nonmeteor/ukmon_20230302_233521_nonmeteor.jpg,0,20230302
15,CroppedImages/nonmeteor/ukmon_20230310_223007_nonmeteor.jpg,0,20230310
16,CroppedImages/nonmeteor/bramon_20230125_233841_nonmeteor.jpg,0,20230125
17,CroppedImages/nonmeteor/bramon_20230128_042733_nonmeteor.jpg,0,20230128
18,CroppedImages/meteor/bramon_20160504_044833_J8_ABO.jpg,1,20160504
19,CroppedImages/meteor/bramon_20210530_064627_J8_MMI.jpg,1,20210530
20,CroppedImages/nonmeteor/bramon_20230125_021636_nonmeteor.jpg,0,20230125
21,CroppedImages/nonmeteor/ukmon_20230319_050520_nonmeteor.jpg,0,20230319
22,CroppedImages/meteor/boam_20200314_235058_BOL.jpg,1,20200314
23,CroppedImages/nonmeteor/bramon_20230126_044814_nonmeteor.jpg,0,20230126
24,CroppedImages/meteor/bramon_20190503_052233_J8_ABO.jpg,1,20190503
25,CroppedImages/nonmeteor/ukmon_20230319_002231_nonmeteor.jpg,0,20230319
26,CroppedImages/meteor/ukmon_20210108_052429_clanfield.jpg,1,20210108
27,CroppedImages/nonmeteor/bramon_20230319_084058_nonmeteor.jpg,0,20230319
28,CroppedImages/meteor/bramon_20200527_054700_J8_MMI.jpg,1,20200527
29,CroppedImages/nonmeteor/bramon_20221017_211255_nonmeteor.jpg,0,20221017
30,CroppedImages/meteor/bramon_20160525_073906_J8_MMI.jpg,1,20160525
31,CroppedImages/meteor/boam_20200516_015402_CHI37.jpg,1,20200516
32,CroppedImages/meteor/ukmon_20210228_003638_clanfield.jpg,1,20210228
33,CroppedImages/nonmeteor/bramon_20221213_074249_nonmeteor.jpg,0,20221213
34,CroppedImages/nonmeteor/bramon_20220330_040646_nonmeteor.jpg,0,20220330
35,CroppedImages/nonmeteor/bramon_20221213_054252_nonmeteor.jpg,0,20221213
36,CroppedImages/meteor/bramon_20190602_063537_J8_JLY.jpg,1,20190602
37,CroppedImages/nonmeteor/ukmon_20221229_012630_nonmeteor.jpg,0,20221229
38,CroppedImages/meteor/boam_20200526_020555_LITIK1.jpg,1,20200526
39,CroppedImages/nonmeteor/bramon_20210513_014818_nonmeteor.jpg,0,20210513
40,CroppedImages/nonmeteor/bramon_20210508_212523_nonmeteor.jpg,0,20210508
41,CroppedImages/nonmeteor/bramon_20210508_213254_nonmeteor.jpg,0,20210508
42,CroppedImages/nonmeteor/ukmon_20230312_033925_nonmeteor.jpg,0,20230312
43,CroppedImages/nonmeteor/bramon_20211022_000209_nonmeteor.jpg,0,20211022
44,CroppedImages/nonmeteor/bramon_20230128_042552_nonmeteor.jpg,0,20230128
45,CroppedImages/meteor/bramon_20220402_034431_J8_ABO.jpg,1,20220402
46,CroppedImages/nonmeteor/bramon_20220330_015550_nonmeteor.jpg,0,20220330
47,CroppedImages/nonmeteor/bramon_20210108_072539_nonmeteor.jpg,0,20210108
48,CroppedImages/nonmeteor/ukmon_20230319_004526_nonmeteor.jpg,0,20230319
49,CroppedImages/meteor/bramon_20180417_054424_J8_ABO.jpg,1,20180417
50,CroppedImages/meteor/boam_20200207_044234_CHI37.jpg,1,20200207
51,CroppedImages/nonmeteor/bramon_20230127_034549_nonmeteor.jpg,0,20230127
52,CroppedImages/meteor/bramon_20210525_001528_J8_MMI.jpg,1,20210525
53,CroppedImages/meteor/ukmon_20220502_025153_UK0042.jpg,1,20220502
54,CroppedImages/meteor/bramon_20190107_225444_spo.jpg,1,20190107
55,CroppedImages/meteor/bramon_20210615_040047_J8_LOP.jpg,1,20210615
56,CroppedImages/nonmeteor/bramon_20230127_012142_nonmeteor.jpg,0,20230127
57,CroppedImages/meteor/bramon_20170920_084241_J8_FLY.jpg,1,20170920
58,CroppedImages/nonmeteor/ukmon_20230319_011854_nonmeteor.jpg,0,20230319
59,CroppedImages/meteor/bramon_20170625_065157_J8_DBA.jpg,1,20170625
60,CroppedImages/nonmeteor/bramon_20230126_023819_nonmeteor.jpg,0,20230126
61,CroppedImages/nonmeteor/bramon_20211022_030525_nonmeteor.jpg,0,20211022
62,CroppedImages/nonmeteor/bramon_20230127_074343_nonmeteor.jpg,0,20230127
63,CroppedImages/meteor/bramon_20220523_061935_J8_MMI.jpg,1,20220523
64,CroppedImages/nonmeteor/bramon_20221213_055859_nonmeteor.jpg,0,20221213
65,CroppedImages/nonmeteor/bramon_20210508_210922_nonmeteor.jpg,0,20210508
66,CroppedImages/meteor/bramon_20210222_001632_J8_AAN.jpg,1,20210222
67,CroppedImages/nonmeteor/bramon_20210508_083413_nonmeteor.jpg,0,20210508
68,CroppedImages/nonmeteor/bramon_20210530_001932_nonmeteor.jpg,0,20210530
69,CroppedImages/nonmeteor/bramon_20210508_160600_nonmeteor.jpg,0,20210508
70,CroppedImages/meteor/bramon_20221009_070401_J8_SOR.jpg,1,20221009
71,CroppedImages/meteor/bramon_20190506_082955_J8_MMI.jpg,1,20190506
72,CroppedImages/nonmeteor/bramon_20160215_051120_nonmeteor.jpg,0,20160215
73,CroppedImages/meteor/bramon_20200527_230428_J8_JLY.jpg,1,20200527
74,CroppedImages/meteor/boam_20210812_025841_LITIK1.jpg,1,20210812
75,CroppedImages/meteor/bramon_20210612_231358_J8_LOP.jpg,1,20210612
76,CroppedImages/nonmeteor/bramon_20230319_001820_nonmeteor.jpg,0,20230319
77,CroppedImages/nonmeteor/bramon_20230127_012007_nonmeteor.jpg,0,20230127
78,CroppedImages/nonmeteor/bramon_20230106_052328_nonmeteor.jpg,0,20230106
79,CroppedImages/nonmeteor/bramon_20211022_000206_nonmeteor.jpg,0,20211022
80,CroppedImages/meteor/bramon_20180612_010749_J8_JLY.jpg,1,20180612
81,CroppedImages/nonmeteor/bramon_20220330_015259_nonmeteor.jpg,0,20220330
82,CroppedImages/meteor/boam_20201110_163935_LITIK1.jpg,1,20201110
83,CroppedImages/nonmeteor/bramon_20221213_070115_nonmeteor.jpg,0,20221213
84,CroppedImages/nonmeteor/bramon_20220329_031346_nonmeteor.jpg,0,20220329
85,CroppedImages/nonmeteor/ukmon_20230317_041911_nonmeteor.jpg,0,20230317
86,CroppedImages/nonmeteor/ukmon_20230106_071739_nonmeteor.jpg,0,20230106
87,CroppedImages/nonmeteor/bramon_20230318_222538_nonmeteor.jpg,0,20230318
88,CroppedImages/meteor/bramon_20150511_023448_J8_MMI.jpg,1,20150511
89,CroppedImages/meteor/bramon_20210620_064517_J8_JLY.jpg,1,20210620
90,CroppedImages/nonmeteor/bramon_20211022_021659_nonmeteor.jpg,0,20211022
